web_scraper_order,web_scraper_start_url,data-page-selector,multiple_data_0,images,athletes,allAthletes
"1764260579-1","https://skiclassics.com/pro-teams/","https://skiclassics.com/pro-teams/eks/","","https://skiclassics.com/wp-content/uploads/2023/03/TeamEksjohus__5F2A6685-scaled.jpg
https://skiclassics.com/wp-content/uploads/2023/03/BRZ_7842-scaled.jpg
https://skiclassics.com/wp-content/uploads/2023/03/TeamEksjohus__5F2A6645-scaled.jpg
https://skiclassics.com/wp-content/uploads/2023/03/TeamEksjohus__5F2A6445-scaled.jpg
https://skiclassics.com/wp-content/uploads/2023/03/TeamEksjohus__5F2A6625-scaled.jpg
https://skiclassics.com/wp-content/uploads/2023/03/TeamEksjohus__5F2A6480-scaled.jpg
https://skiclassics.com/wp-content/uploads/2023/03/TeamEksjohus__5F2A6528-scaled.jpg
https://skiclassics.com/wp-content/uploads/2024/10/TeamEksjohus__5F2A6696-scaled.jpg
https://skiclassics.com/wp-content/uploads/2023/03/TeamEksjohus__5F2A6561-scaled.jpg
https://skiclassics.com/wp-content/uploads/2023/03/TeamEksjohus__5F2A6496-1-scaled.jpg","Eirik Sverdrup Augdal

Axel Jutterstrom

Thomas Odegaarden

Morten Eide Pedersen

Jeremy Royer

Kati Roivas

Magni Smedas

Louise Lindstrom

Sofie Elebro

Vebjorn Moen","PRO TEAM ATHLETESEirik Sverdrup AugdalRANKING #6Axel JutterstromRANKING #9Thomas OdegaardenRANKING #11Morten Eide PedersenRANKING #18Jeremy RoyerRANKING #24Kati RoivasRANKING #31Magni SmedasRANKING #33Louise LindstromRANKING #43Sofie ElebroRANKING #52Vebjorn MoenRANKING #53"
"1764260583-2","https://skiclassics.com/pro-teams/","https://skiclassics.com/pro-teams/eds/","","https://skiclassics.com/wp-content/uploads/2023/03/Bing_Thomas.jpeg
https://skiclassics.com/wp-content/uploads/2024/10/Sedlacek_Vaclav.jpeg
https://skiclassics.com/wp-content/uploads/2023/03/Grohova_Karolina.jpeg
https://skiclassics.com/wp-content/uploads/2024/10/Bohaty_Ales-1.jpg
https://skiclassics.com/wp-content/uploads/2023/03/Hejna_Anna_Marie.jpeg
https://skiclassics.com/wp-content/uploads/2023/03/Stichling_Laura.jpeg
https://skiclassics.com/wp-content/uploads/2023/11/Kolaja_Petr.jpeg
https://skiclassics.com/wp-content/uploads/2024/12/Martan_Matyas.jpg
https://skiclassics.com/wp-content/uploads/2024/10/Nyberg_Emmi.jpeg
https://skiclassics.com/wp-content/uploads/2024/12/Becvar_Jakub.jpeg
https://skiclassics.com/wp-content/uploads/2024/12/Poul_Jachym-scaled.jpeg
https://skiclassics.com/wp-content/uploads/2025/09/Sibravova_Eliska-scaled.jpeg
https://skiclassics.com/wp-content/uploads/2024/12/Miranova_Tina.jpeg","Thomas Bing

Vaclav Sedlacek

Karolina Grohova

Ales Bohaty

Anna-Marie Hejna

Laura Stichling

Petr Kolaja

Matyas Martan

Emmi Nyberg

Jakub Becvar

Jachym Poul

Eliska Sibravova

Tina Miranova","PRO TEAM ATHLETESThomas BingRANKING #25Vaclav SedlacekRANKING #77Karolina GrohovaRANKING #114Ales BohatyRANKING #119Anna-Marie HejnaRANKING #144Laura StichlingRANKING #168Petr KolajaRANKING #210Matyas MartanRANKING #339Emmi NybergRANKING #397Jakub BecvarRANKING #1642Jachym PoulRANKING #6115Eliska SibravovaRANKING #7553Tina Miranova"
"1764260586-3","https://skiclassics.com/pro-teams/","https://skiclassics.com/pro-teams/lag/","","https://skiclassics.com/wp-content/uploads/2023/03/Emil-Persson-Profile-Picture-1.png
https://skiclassics.com/wp-content/uploads/2023/03/Oskar-Kardin-Profile-Picture-2.png
https://skiclassics.com/wp-content/uploads/2023/03/Alvar-Myhlback-Profile-Picture-1.png
https://skiclassics.com/wp-content/uploads/2023/03/Runar-Skaug-Mathisen-Profile-Picture.png
https://skiclassics.com/wp-content/uploads/2023/03/EINAR-KALLAND-OLSEN-profile-picture.jpg
https://skiclassics.com/wp-content/uploads/2023/03/Jenny-Larsson-Profile-Picture.png
https://skiclassics.com/wp-content/uploads/2023/03/Nils-Dahlsten-Profile-Picture-1.png
https://skiclassics.com/wp-content/uploads/2023/03/Karolina-Hedenstrom-Profile-Picture.png
https://skiclassics.com/wp-content/uploads/2023/03/Linnea-Johansson-Profile-Picture-1.png","Emil Persson

Oskar Kardin

Alvar Myhlback

Runar Skaug Mathisen

Einar Kalland-Olsen

Jenny Larsson

Nils Dahlsten

Karolina Hedenstrom

Linnea Johansson","PRO TEAM ATHLETESEmil PerssonRANKING #12Oskar KardinRANKING #16Alvar MyhlbackRANKING #19Runar Skaug MathisenRANKING #21Einar Kalland-OlsenRANKING #26Jenny LarssonRANKING #27Nils DahlstenRANKING #39Karolina HedenstromRANKING #48Linnea JohanssonRANKING #84"
"1764260589-4","https://skiclassics.com/pro-teams/","https://skiclassics.com/pro-teams/tad/","","https://skiclassics.com/wp-content/uploads/2023/03/Kasper-Stadaas.jpeg
https://skiclassics.com/wp-content/uploads/2023/03/Screenshot-2024-02-09-at-23.50.47.png
https://skiclassics.com/wp-content/uploads/2023/03/Amund-scaled.jpeg
https://skiclassics.com/wp-content/uploads/2023/03/Screenshot-2024-02-09-at-23.51.30.png
https://skiclassics.com/wp-content/uploads/2023/03/BRZ_7334-scaled.jpg
https://skiclassics.com/wp-content/uploads/2023/03/Mathias-Aas-Rolid.jpeg
https://skiclassics.com/wp-content/uploads/2023/03/Gaute-scaled.jpeg
https://skiclassics.com/wp-content/uploads/2025/09/Anne-Kjersti-Kalva-scaled.jpeg
https://skiclassics.com/wp-content/uploads/2025/09/Sophia-Laukli.jpeg","Kasper Stadaas

Max Novak

Amund Riege

Petter Stakston

Silje Oyre Slind

Mathias Aas Rolid

Gaute Kvale

Anne Kjersti Kalvaa

Sophia Laukli","PRO TEAM ATHLETESKasper StadaasRANKING #4Max NovakRANKING #7Amund RiegeRANKING #15Petter StakstonRANKING #22Silje Oyre SlindRANKING #28Mathias Aas RolidRANKING #45Gaute KvaleRANKING #233Anne Kjersti KalvaaSophia Laukli"
"1764260592-5","https://skiclassics.com/pro-teams/","https://skiclassics.com/pro-teams/eng/","","https://skiclassics.com/wp-content/uploads/2023/03/Anikken.jpg
https://skiclassics.com/wp-content/uploads/2023/03/Torleif.jpg
https://skiclassics.com/wp-content/uploads/2023/03/Ole-JA¸rgen.jpg
https://skiclassics.com/wp-content/uploads/2023/03/Amund.jpg
https://skiclassics.com/wp-content/uploads/2023/03/Johan.jpg
https://skiclassics.com/wp-content/uploads/2023/03/Hanna.jpg
https://skiclassics.com/wp-content/uploads/2023/03/Anton-scaled.jpg
https://skiclassics.com/wp-content/uploads/2023/03/Ida-Dahl_Profile-Picture.jpg","Anikken Gjerde Alnes

Torleif Syrstad

Ole Jorgen Bruvoll

Amund Hoel

Johan Tjelle

Hanna Lodin

Anton Elvseth

Ida Dahl","PRO TEAM ATHLETESAnikken Gjerde AlnesRANKING #5Torleif SyrstadRANKING #8Ole Jorgen BruvollRANKING #10Amund HoelRANKING #13Johan TjelleRANKING #14Hanna LodinRANKING #38Anton ElvsethRANKING #50Ida DahlRANKING #95"
"1764260595-6","https://skiclassics.com/pro-teams/","https://skiclassics.com/pro-teams/rob/","","https://skiclassics.com/wp-content/uploads/2023/09/GUSTAV-ERIKSSON-TEAM-SLAVIA-POJISTOVNA-ROBINSON-TRENTINO.png
https://skiclassics.com/wp-content/uploads/2023/03/FABIAN-STOCEK-TEAM-SLAVIA-POJISTOVNA-ROBINSON-TRENTINO.png
https://skiclassics.com/wp-content/uploads/2023/09/SIMON-VUILLET-TEAM-SLAVIA-POJISTOVNA-ROBINSON-TRENTINO.png
https://skiclassics.com/wp-content/uploads/2023/03/ODANER1.png
https://skiclassics.com/wp-content/uploads/2023/03/TEREZA-HUJEROVA-TEAM-SLAVIA-POJISTOVNA-ROBINSON-TRENTINO.png
https://skiclassics.com/wp-content/uploads/2023/03/TORDAS1.png
https://skiclassics.com/wp-content/uploads/2023/03/MICHAELA-PATSCHEIDER-TEAM-SLAVIA-POJISTOVNA-ROBINSON-TRENTINO.png
https://skiclassics.com/wp-content/uploads/2023/09/HANNA-FINE-TEAM-SLAVIA-POJISTOVNA-ROBINSON-TRENTINO1.png
https://skiclassics.com/wp-content/uploads/2023/03/STANIS1.png
https://skiclassics.com/wp-content/uploads/2023/03/JAKOB-WALTHER-TEAM-SLAVIA-POJISTOVNA-ROBINSON-TRENTINO.png
https://skiclassics.com/wp-content/uploads/2025/10/CRISTI1.png
https://skiclassics.com/wp-content/uploads/2025/10/CATERI1.png","Gustav Eriksson

Fabian Stocek

Simon Vuillet

Oda Nerdrum

Tereza Hujerova

Tord Asle Gjerdalen

Michaela Patscheider

Hanna Fine

Stanislav Rezac

Jakob Walther

Cristian Bertagnolli

Caterina Cozzolino","PRO TEAM ATHLETESGustav ErikssonRANKING #36Fabian StocekRANKING #49Simon VuilletRANKING #65Oda NerdrumRANKING #81Tereza HujerovaRANKING #92Tord Asle GjerdalenRANKING #93Michaela PatscheiderRANKING #97Hanna FineRANKING #106Stanislav RezacRANKING #116Jakob WaltherRANKING #228Cristian BertagnolliRANKING #1493Caterina CozzolinoRANKING #6911"
"1764260599-7","https://skiclassics.com/pro-teams/","https://skiclassics.com/pro-teams/trc/","","https://skiclassics.com/wp-content/uploads/2023/03/Screenshot-2024-02-09-at-23.36.24.png
https://skiclassics.com/wp-content/uploads/2023/03/BRZ_7680-scaled.jpg
https://skiclassics.com/wp-content/uploads/2025/10/BRZ_7687-scaled.jpg
https://skiclassics.com/wp-content/uploads/2023/03/MikaelGunnulfsen.jpg
https://skiclassics.com/wp-content/uploads/2025/10/MartheBj›rnsg†rd.jpeg
https://skiclassics.com/wp-content/uploads/2025/10/H†vardTaugb›l.jpg
https://skiclassics.com/wp-content/uploads/2025/10/AnnaAukland.jpg","Johan Hoel

Andreas Nygaard

Stina Nilsson

Mikael Gunnulfsen

Marthe Bjornsgaard

Havard Taugbol

Anna Aukland","PRO TEAM ATHLETESJohan HoelRANKING #2Andreas NygaardRANKING #3Stina NilssonRANKING #17Mikael GunnulfsenRANKING #269Marthe BjornsgaardRANKING #675Havard TaugbolRANKING #3169Anna AuklandRANKING #8443"
"1764260602-8","https://skiclassics.com/pro-teams/","https://skiclassics.com/pro-teams/ram/","","https://skiclassics.com/wp-content/uploads/2023/03/BRZ_7767-scaled.jpg
https://skiclassics.com/wp-content/uploads/2023/03/Magnus-Vesterheim-1-rotated.jpg
https://skiclassics.com/wp-content/uploads/2023/03/BRZ_7729-scaled.jpg
https://skiclassics.com/wp-content/uploads/2023/03/BRZ_7747-scaled.jpg
https://skiclassics.com/wp-content/uploads/2023/03/BRZ_7761-scaled.jpg
https://skiclassics.com/wp-content/uploads/2023/03/BRZ_7745-scaled.jpg
https://skiclassics.com/wp-content/uploads/2024/10/Anton-Persson_profil.png
https://skiclassics.com/wp-content/uploads/2024/02/Truls-Gisselman_profil.jpg
https://skiclassics.com/wp-content/uploads/2024/10/Hjalmar-Oscarsson_profil.jpg
https://skiclassics.com/wp-content/uploads/2024/10/Tova-Andersson_profil.jpg","Emilie Fleten

Magnus Vesterheim

Alfred Buskqvist

Herman Paus

Thomas Joly

Julie Kvale Stostad

Anton Persson

Truls Gisselman

Hjalmar Oscarsson

Tova Andersson","PRO TEAM ATHLETESEmilie FletenRANKING #1Magnus VesterheimRANKING #20Alfred BuskqvistRANKING #29Herman PausRANKING #32Thomas JolyRANKING #42Julie Kvale StostadRANKING #62Anton PerssonRANKING #63Truls GisselmanRANKING #140Hjalmar OscarssonRANKING #205Tova AnderssonRANKING #230"
"1764260605-9","https://skiclassics.com/pro-teams/","https://skiclassics.com/pro-teams/tne/","","https://skiclassics.com/wp-content/uploads/2023/09/Nathan-Jouannon-profile-picture-1.jpg
https://skiclassics.com/wp-content/uploads/2023/09/Screenshot-2024-02-09-at-23.27.25.png
https://skiclassics.com/wp-content/uploads/2023/09/Antoine-Millet-profile-picture-scaled.jpeg
https://skiclassics.com/wp-content/uploads/2023/09/Boris-Berglez-profile-picture-scaled.jpg
https://skiclassics.com/wp-content/uploads/2023/09/Elio-Jarriand-profile-picture.jpg
https://skiclassics.com/wp-content/uploads/2023/09/Suzette-Christin-profile-picture.jpg
https://skiclassics.com/wp-content/uploads/2023/09/Alice-Bourdin-profile-picture.jpg","Nathan Jouannon

Leonie Harivel

Antoine Millet

Boris Berglez

Elio Jarriand

Suzette Christin

Alice Bourdin","PRO TEAM ATHLETESNathan JouannonRANKING #111Leonie HarivelRANKING #146Antoine MilletRANKING #185Boris BerglezRANKING #273Elio JarriandRANKING #743Suzette ChristinRANKING #891Alice Bourdin"
"1764260608-10","https://skiclassics.com/pro-teams/","https://skiclassics.com/pro-teams/sol/","","https://skiclassics.com/wp-content/uploads/2023/03/Halvor-Korbol-Thoner-profilbilde.jpg
https://skiclassics.com/wp-content/uploads/2023/03/Ole-Eirik-Fuglehaug-Ekrem-profilbilde-1.jpg
https://skiclassics.com/wp-content/uploads/2023/03/Camilla-Brors-profilbilde.jpg
https://skiclassics.com/wp-content/uploads/2024/10/Maren-Navarrete-Aaberg-profilbilde.jpg
https://skiclassics.com/wp-content/uploads/2023/03/Thea-Sorum-profilbilde.jpg
https://skiclassics.com/wp-content/uploads/2023/03/J況gen-Harby-profilbilde.jpg","Halvor Korbol Thoner

Ole Eirik Fuglehaug Ekrem

Camilla Broers

Maren Aberg

Thea Sorum

Jorgen Harby","PRO TEAM ATHLETESHalvor Korbol ThonerRANKING #103Ole Eirik Fuglehaug EkremRANKING #112Camilla BroersRANKING #147Maren AbergRANKING #180Thea SorumRANKING #1356Jorgen HarbyRANKING #1383"
