web_scraper_order,web_scraper_start_url,pagination-selector,Name,Name2,Name3,Name4,Price,Score,Prev race pts.
1763925487-1,https://fantasy.skiclassics.com/athletes,,Haakon Holden,Team Kaffebryggeriet DRIV,https://skiclassics.com/wp-content/uploads/2023/03/Team-Kaffebryggeriet-Driv-race-suit.png,,$3 813,0 p.,-
1763925487-2,https://fantasy.skiclassics.com/athletes,,Mikael Gunnulfsen,Team Ragde Charge,https://skiclassics.com/wp-content/uploads/2023/03/Aukland-Coaching-AS_2024.svg,,$2 036,0 p.,-
1763925487-3,https://fantasy.skiclassics.com/athletes,,Markus Köcheler,Cibes Lift Ski-Willy Marathon Team,https://skiclassics.com/wp-content/uploads/2023/03/RaceSuit_SkiWillyMarathonTeamAUT.svg,QCI,$935,0 p.,-
1763925487-4,https://fantasy.skiclassics.com/athletes,,Runar Skaug Mathisen,Lager 157 Ski Team,https://skiclassics.com/wp-content/uploads/2024/11/VSC-Race-Suit_LAGER-157-SKI-TEAM.png,,$6 907,0 p.,-
1763925487-5,https://fantasy.skiclassics.com/athletes,,Joel Björnlinger,Ski Team Göhlins,https://skiclassics.com/wp-content/uploads/2023/03/ski-team-Gohlins-race-suit.svg,Youth,$291,0 p.,-
1763925487-6,https://fantasy.skiclassics.com/athletes,,Ole Jørgen Bruvoll,Team Engcon,https://skiclassics.com/wp-content/uploads/2024/11/VSC-Race-Suit_Engcon_New-4.svg,,$8 525,0 p.,-
1763925487-7,https://fantasy.skiclassics.com/athletes,,Per Ingvar Tollehaug,Team Synnfjell,https://skiclassics.com/wp-content/uploads/2023/03/Team-Synnfjell-race-suit-template.png,Youth,$1 097,0 p.,-
1763925487-8,https://fantasy.skiclassics.com/athletes,,Axel Jutterström,Team Eksjöhus,https://skiclassics.com/wp-content/uploads/2024/11/Team-Eksjohus_VSC_template_2024-e1731396346500.png,,$8 871,0 p.,-
1763925487-9,https://fantasy.skiclassics.com/athletes,,Elias Andersson,Ski Team Göhlins,https://skiclassics.com/wp-content/uploads/2023/03/ski-team-Gohlins-race-suit.svg,,$5 301,0 p.,-
1763925487-10,https://fantasy.skiclassics.com/athletes,,Gaute Kvåle,Team Aker Dæhlie,https://skiclassics.com/wp-content/uploads/2023/03/VSC-Race-Suit-Template-Team-Aker-Daehlie-2024.svg,,$454,0 p.,-
1763925487-11,https://fantasy.skiclassics.com/athletes,,Marie Renée Sørum Gangsø,Team Sjusjøen Langløp,,,$3 012,0 p.,-
1763925487-12,https://fantasy.skiclassics.com/athletes,,Valerie Widmer,Team Emtec Nordic,,QCI,$228,0 p.,-
